Code,County,Size (Km2),Population (NPHC 2009),Capital,Governor,Deputy Governor,Women Representative,Main Economic Activities
1,Mombasa (County),212.5,939370,Mombasa (City),Abdullswammad Sherif Nassir,Francis Thoya,Zamzam Mohamed,"Tourism, fishing, Mining (limestone), Industry & Trade, Crop Production, Livestock keeping and Forest Farming"
2,Kwale,8270.3,649931,Kwale,Fatuma Mohamed Achani,Josephat Chirema Kombo,Fatuma Abdi Masito,"Agriculture ( crop farming and livestock keeping), Tourism, Fishing, Mining and Trade"
3,Kilifi,12245.9,1109735,Kilifi,Gideon Mung'aro,Chibule Flora Margaret,Gertrude Mbeyu Mwanyanje,"Crop (Production (Maize , Cassava, Cowpeas), Horticulture, Livestock keeping, Apiculture, Tourism, Fishing and Industry"
4,Tana River,35375.8,240075,Hola,Dhadho Gaddae Godhana,Mahadh Ali Loka,Amina Dika,"Pastoralism, Crop Production (Mangoes & Cowpeas), Mining (sand & murram), Indigenous Poultry Keeping and Fishing."
5,Lamu,6497.7,101539,Lamu,Issa Abdallah Timamy,Ndung'u Raphael Munya,Marubu Monicah,"Tourism, Fishing, Mangrove Export, Trade, Handcraft and Carpentry Industries"
6,Taita–Taveta,17083.9,284657,Mwatate,Andrew Mwadime,Christine Ruth Saru Kilalo,Lydia Haika Mnene Mizighi,"Livestock keeping, Crop Farming (Maize & Beans), Butterfly Farming, Silk Farming, Forest Farming, Horticulture, Fishing and Tourism."
7,Garissa,45720.2,623060,Garissa,Nathif Jama,Abdi Muhumed Dagane,Amina Siyad,"Pastoralism, Tourism, Horticulture (Fruits & Vegetables)"
8,Wajir,55840.6,661941,Wajir,Ahmed Abdullahi,Ahmed Muhumed Abdi,Fatuma Jehoh,"Pastrolism, Agropastrolism, Trade, Irrigation Agriculture (Fruits & Fodder)"
9,Mandera,25797.7,1025756,Mandera,Mohamed Adan Khalif,Ali Mohamud Maalim,Umul Kassim,"Nomadic pastoralism (Camels, Goats, Sheep & Cattle), Small Scale Agriculture-(Mangoes, Pawpaw, Onions, Kales and Bananas)"
10,Marsabit,66923.1,291166,Marsabit,Mohamud Ali,Solomon Gubo Riwe,Naomi Jilo Wako,"Livestock Farming, fishing, Sand Harvesting, Tourism and Trade"
